X,site_id,site_name,origin,city,state,partner_faculty,lat,lon,mgmt_type,google_img_id,pct_imp_2024,closest_zip,usda_plant_hardiness_2023,tree_canopy_cover_2023,CEC_landcover_2020,NLCD_landcover_2024,public_ok,AREASYMBOL,MUSYM,MUKEY,cokey,hzname,hzdept_r,hzdepb_r,sandtotal_r,silttotal_r,claytotal_r,om_r,geometry
48,F07,CBG,"Clovis, CA",Clovis,CA,Rosa Alcazar,36.848366,-119.700831,Botanical Garden,1SyPkFHS9P2KW_OS54ACH5Ywsiv3gL4mn,9,93611,9b,0,Cropland,"Developed, Open Space",TRUE,CA654,TzbA,464505,25574557,A,0,10,80,17.5,2.5,0.75,"c(-2072079.13401689, 1793497.31995863)"
86,ME01,UCM Memorial Quad & Near SE2,"Merced, CA",Merced,CA,Michele Nishiguchi,37.365386,-120.421913,"Managed: mowed/tended lawns, yard, or park",1N7tV0dZ3wRbmaX77vzhlM4TqNtwKtdB5,25,95343,9a,0,Urban and built-up,"Developed, Low Intensity",TRUE,CA648,3HB,462945,25535956,H1,0,30,31.5,31,37.5,2,"c(-2119023.30853306, 1865485.22725687)"
86,ME01,UCM Memorial Quad & Near SE2,"Merced, CA",Merced,CA,Michele Nishiguchi,37.365386,-120.421913,"Managed: mowed/tended lawns, yard, or park",1N7tV0dZ3wRbmaX77vzhlM4TqNtwKtdB5,25,95343,9a,0,Urban and built-up,"Developed, Low Intensity",TRUE,CA648,3HB,462945,25535956,H2,30,69,23.299999237060547,29.200000762939453,47.5,0.25,"c(-2119023.30853306, 1865485.22725687)"
86,ME01,UCM Memorial Quad & Near SE2,"Merced, CA",Merced,CA,Michele Nishiguchi,37.365386,-120.421913,"Managed: mowed/tended lawns, yard, or park",1N7tV0dZ3wRbmaX77vzhlM4TqNtwKtdB5,25,95343,9a,0,Urban and built-up,"Developed, Low Intensity",TRUE,CA648,3HB,462945,25535956,H3,69,152,16.899999618530273,48.099998474121094,35,0,"c(-2119023.30853306, 1865485.22725687)"
119,SC01,UCSC-CC,"Santa Cruz, CA",Santa Cruz,CA,Rosa Alcazar,36.95241,-122.064,"Unmanaged: wild plants/weeds, forest, or grassland",1T64macpzvX9TId_jtuxxlt8tfeLV8yac,0,95060,10a,0,Urban and built-up,Grassland/Herbaceous,TRUE,CA087,133,455909,26033996,H1,0,53,65.9000015258789,19.100000381469727,15,4,"c(-2270562.53173034, 1858754.89813908)"
119,SC01,UCSC-CC,"Santa Cruz, CA",Santa Cruz,CA,Rosa Alcazar,36.95241,-122.064,"Unmanaged: wild plants/weeds, forest, or grassland",1T64macpzvX9TId_jtuxxlt8tfeLV8yac,0,95060,10a,0,Urban and built-up,Grassland/Herbaceous,TRUE,CA087,133,455909,26033996,H2,53,155,55.099998474121094,17.399999618530273,27.5,0.75,"c(-2270562.53173034, 1858754.89813908)"
120,SC02,UCSC Main Campus,"Santa Cruz, CA",Santa Cruz,CA,Rosa Alcazar,36.998778,-122.06125,"Unmanaged: wild plants/weeds, forest, or grassland",1xj-6IYeDbofpqVbMWWvv39v-P2PjITaJ,39,95064,9b,45,Urban and built-up,"Developed, Low Intensity",TRUE,CA087,142,455918,26034090,Cr,94,122,NA,NA,NA,NA,"c(-2268922.03328618, 1863690.49264421)"
120,SC02,UCSC Main Campus,"Santa Cruz, CA",Santa Cruz,CA,Rosa Alcazar,36.998778,-122.06125,"Unmanaged: wild plants/weeds, forest, or grassland",1xj-6IYeDbofpqVbMWWvv39v-P2PjITaJ,39,95064,9b,45,Urban and built-up,"Developed, Low Intensity",TRUE,CA087,142,455918,26034090,Bt1,13,28,34.70000076293945,37.79999923706055,27.5,0.75,"c(-2268922.03328618, 1863690.49264421)"
120,SC02,UCSC Main Campus,"Santa Cruz, CA",Santa Cruz,CA,Rosa Alcazar,36.998778,-122.06125,"Unmanaged: wild plants/weeds, forest, or grassland",1xj-6IYeDbofpqVbMWWvv39v-P2PjITaJ,39,95064,9b,45,Urban and built-up,"Developed, Low Intensity",TRUE,CA087,142,455918,26034090,Bt2,28,51,34.70000076293945,37.79999923706055,27.5,0.75,"c(-2268922.03328618, 1863690.49264421)"
120,SC02,UCSC Main Campus,"Santa Cruz, CA",Santa Cruz,CA,Rosa Alcazar,36.998778,-122.06125,"Unmanaged: wild plants/weeds, forest, or grassland",1xj-6IYeDbofpqVbMWWvv39v-P2PjITaJ,39,95064,9b,45,Urban and built-up,"Developed, Low Intensity",TRUE,CA087,142,455918,26034090,BCt,77,94,34.70000076293945,37.79999923706055,27.5,0.5,"c(-2268922.03328618, 1863690.49264421)"
120,SC02,UCSC Main Campus,"Santa Cruz, CA",Santa Cruz,CA,Rosa Alcazar,36.998778,-122.06125,"Unmanaged: wild plants/weeds, forest, or grassland",1xj-6IYeDbofpqVbMWWvv39v-P2PjITaJ,39,95064,9b,45,Urban and built-up,"Developed, Low Intensity",TRUE,CA087,142,455918,26034090,A,0,13,43,39.5,17.5,2,"c(-2268922.03328618, 1863690.49264421)"
120,SC02,UCSC Main Campus,"Santa Cruz, CA",Santa Cruz,CA,Rosa Alcazar,36.998778,-122.06125,"Unmanaged: wild plants/weeds, forest, or grassland",1xj-6IYeDbofpqVbMWWvv39v-P2PjITaJ,39,95064,9b,45,Urban and built-up,"Developed, Low Intensity",TRUE,CA087,142,455918,26034090,Bt3,51,77,34.70000076293945,37.79999923706055,27.5,0.75,"c(-2268922.03328618, 1863690.49264421)"
129,PD01,Palm Desert 1 - COD001,"Palm Desert, CA",Palm Desert,CA,Alexa Sawa,33.669456,-116.4091989,"Unmanaged: wild plants/weeds, forest, or grassland",1t83oqS5OlQvDXRjVkdwNADksGX6K-5nX,0,92260,10a,0,"Barren lands, where vegetation accounts for less than 10 percent of total cover",Shrub/Scrub,TRUE,CA680,RA,464049,26080757,H2,15,152,97.9000015258789,1.600000023841858,0.5,NA,"c(-1864916.93253106, 1379070.11907212)"
129,PD01,Palm Desert 1 - COD001,"Palm Desert, CA",Palm Desert,CA,Alexa Sawa,33.669456,-116.4091989,"Unmanaged: wild plants/weeds, forest, or grassland",1t83oqS5OlQvDXRjVkdwNADksGX6K-5nX,0,92260,10a,0,"Barren lands, where vegetation accounts for less than 10 percent of total cover",Shrub/Scrub,TRUE,CA680,RA,464049,26080757,H1,0,15,97.9000015258789,1.600000023841858,0.5,NA,"c(-1864916.93253106, 1379070.11907212)"
130,PD02,Palm Desert 2 - COD002,"Palm Desert, CA",Palm Desert,CA,Alexa Sawa,33.7330671,-116.3867086,"Managed: mowed/tended lawns, yard, or park",1ELrlPfy5kMEeb3ui08sLYt1ywqpk1Bxr,66,92260,10a,11,Urban and built-up,"Developed, Medium Intensity",TRUE,CA680,CpA,464019,26080612,H2,28,152,98.5,1.5,0,0.25,"c(-1861380.70362764, 1385572.40775699)"
130,PD02,Palm Desert 2 - COD002,"Palm Desert, CA",Palm Desert,CA,Alexa Sawa,33.7330671,-116.3867086,"Managed: mowed/tended lawns, yard, or park",1ELrlPfy5kMEeb3ui08sLYt1ywqpk1Bxr,66,92260,10a,11,Urban and built-up,"Developed, Medium Intensity",TRUE,CA680,CpA,464019,26080612,H1,0,28,96.80000305175781,0.699999988079071,2.5,0.25,"c(-1861380.70362764, 1385572.40775699)"
