X,site_id,site_name,origin,city,state,partner_faculty,lat,lon,mgmt_type,google_img_id,pct_imp_2024,closest_zip,usda_plant_hardiness_2023,tree_canopy_cover_2023_science,tree_canopy_cover_2023_nlcd,CEC_landcover_2020,NLCD_landcover_2024,public_ok,AREASYMBOL,MUSYM,MUKEY,cokey,hzname,hzdept_r,hzdepb_r,sandtotal_r,silttotal_r,claytotal_r,om_r,geometry
11,B10,Druid Hill Park Baseball Field,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.319571,-76.6441182,"Managed: mowed/tended lawns, yard, or park",1SKT1JpADnzUQaPP5OQEiuzWrHzTXkpEs,6,21217,7b,18,0,Urban and built-up,"Developed, Open Space",TRUE,MD510,39B,533955,25783518,H1,0,8,42.099998474121094,37.900001525878906,20,1.5,"c(1642067.61941217, 1978531.77684814)"
12,B11,Gwynns Grassland,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.2725685,-76.6515768,"Unmanaged: wild plants/weeds, forest, or grassland",1uocCMOo_15LMz62b9d6ZiiTMpuWOQgvX,16,21230,8a,51,43,Urban and built-up,"Developed, Open Space",TRUE,MD510,43U,533965,25783533,H1,0,152,NA,NA,NA,NA,"c(1642508.75043622, 1973243.90045859)"
13,B12,Gwynns Glade,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.2731493,-76.6527808,"Unmanaged: wild plants/weeds, forest, or grassland",1R2y8KUXSma4ih77saOlT4lJLK3hsEPxq,17,21230,8a,73,73,Urban and built-up,"Developed, Open Space",TRUE,MD510,43U,533965,25783533,H1,0,152,NA,NA,NA,NA,"c(1642394.79689293, 1973286.84125036)"
14,B13,Gwynns Trailhead,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.271642,-76.6482257,"Managed: mowed/tended lawns, yard, or park",1RSp-9SLtIF71288f_1NtL7WvnumPfSSb,53,21230,8a,40,32,Urban and built-up,"Developed, Medium Intensity",TRUE,MD510,43U,533965,25783533,H1,0,152,NA,NA,NA,NA,"c(1642810.2853498, 1973200.13112325)"
15,B14,Herring Run Stump,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.332137,-76.5758902,"Managed: mowed/tended lawns, yard, or park",1IABQk4yCQEbRrAgl7XJ2pBB-DO8fzNI3,7,21213,8a,11,0,Urban and built-up,"Developed, Open Space",TRUE,MD510,39B,533955,25783518,H3,102,165,NA,NA,NA,NA,"c(1647489.24579861, 1981091.74386096)"
15,B14,Herring Run Stump,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.332137,-76.5758902,"Managed: mowed/tended lawns, yard, or park",1IABQk4yCQEbRrAgl7XJ2pBB-DO8fzNI3,7,21213,8a,11,0,Urban and built-up,"Developed, Open Space",TRUE,MD510,39B,533955,25783518,H2,8,102,35.900001525878906,34.099998474121094,30,1.5,"c(1647489.24579861, 1981091.74386096)"
15,B14,Herring Run Stump,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.332137,-76.5758902,"Managed: mowed/tended lawns, yard, or park",1IABQk4yCQEbRrAgl7XJ2pBB-DO8fzNI3,7,21213,8a,11,0,Urban and built-up,"Developed, Open Space",TRUE,MD510,39B,533955,25783518,H1,0,8,42.099998474121094,37.900001525878906,20,1.5,"c(1647489.24579861, 1981091.74386096)"
16,B15,Herring Run Field,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3302272,-76.5726679,"Managed: mowed/tended lawns, yard, or park",1jktBKZd9I0pze5GQzDVIJ_2VCf5WYWbT,7,21213,8a,48,47,Urban and built-up,"Developed, Open Space",TRUE,MD510,42,533963,25783530,H1,0,13,46.599998474121094,44.400001525878906,9,1,"c(1647802.18456652, 1980938.02703563)"
16,B15,Herring Run Field,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3302272,-76.5726679,"Managed: mowed/tended lawns, yard, or park",1jktBKZd9I0pze5GQzDVIJ_2VCf5WYWbT,7,21213,8a,48,47,Urban and built-up,"Developed, Open Space",TRUE,MD510,42,533963,25783530,C,13,165,40,40,20,2,"c(1647802.18456652, 1980938.02703563)"
17,B16,Herring Run Stream Bank,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3294746,-76.5708624,"Unmanaged: wild plants/weeds, forest, or grassland",1pYEeggxUF50Q-wAr4o1mWbHN32MiEeoL,0,21213,8a,65,68,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD510,50A,533886,25783586,Cg2,140,203,61,24,15,0.009999999776482582,"c(1647970.3098749, 1980886.74381652)"
17,B16,Herring Run Stream Bank,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3294746,-76.5708624,"Unmanaged: wild plants/weeds, forest, or grassland",1pYEeggxUF50Q-wAr4o1mWbHN32MiEeoL,0,21213,8a,65,68,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD510,50A,533886,25783586,Cg1,112,140,18,52,30,0.10000000149011612,"c(1647970.3098749, 1980886.74381652)"
17,B16,Herring Run Stream Bank,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3294746,-76.5708624,"Unmanaged: wild plants/weeds, forest, or grassland",1pYEeggxUF50Q-wAr4o1mWbHN32MiEeoL,0,21213,8a,65,68,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD510,50A,533886,25783586,Bg2,46,74,25,54,21,0.25,"c(1647970.3098749, 1980886.74381652)"
17,B16,Herring Run Stream Bank,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3294746,-76.5708624,"Unmanaged: wild plants/weeds, forest, or grassland",1pYEeggxUF50Q-wAr4o1mWbHN32MiEeoL,0,21213,8a,65,68,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD510,50A,533886,25783586,A,0,28,30,55,15,2.5,"c(1647970.3098749, 1980886.74381652)"
17,B16,Herring Run Stream Bank,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3294746,-76.5708624,"Unmanaged: wild plants/weeds, forest, or grassland",1pYEeggxUF50Q-wAr4o1mWbHN32MiEeoL,0,21213,8a,65,68,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD510,50A,533886,25783586,Bg1,28,46,21,54,25,0.5,"c(1647970.3098749, 1980886.74381652)"
17,B16,Herring Run Stream Bank,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3294746,-76.5708624,"Unmanaged: wild plants/weeds, forest, or grassland",1pYEeggxUF50Q-wAr4o1mWbHN32MiEeoL,0,21213,8a,65,68,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD510,50A,533886,25783586,BCg,74,112,20,55,25,0.20000000298023224,"c(1647970.3098749, 1980886.74381652)"
18,B17,Herring Run Hillside Forest,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3284985,-76.5712121,"Unmanaged: wild plants/weeds, forest, or grassland",1b0Tk7DoTT-Zvj42uPT41n4vldVaYmDxr,9,21213,8a,87,86,Urban and built-up,"Developed, Open Space",TRUE,MD510,33B,533944,25783483,H3,99,165,82.9000015258789,4.599999904632568,12.5,0.25,"c(1647963.27255971, 1980773.56201104)"
