site_id,sample_id,lon,lat,collection_date,lon_cru,lat_cru,time,tmp
D01,Soil_D01_1,37.2805,-107.8666,2024-07-10,-107.75,37.25,2024-07-16,20
D01,Soil_D01_2,37.2805,-107.8666,2024-07-10,-107.75,37.25,2024-07-16,20
D02,Soil_D02_1,37.280278,-107.866667,2024-07-12,-107.75,37.25,2024-07-16,20
D02,Soil_D02_2,37.280278,-107.866667,2024-07-12,-107.75,37.25,2024-07-16,20
D03,Soil_D03_1,37.229167,-108.055278,2024-07-17,-108.25,37.25,2024-07-16,20.700000762939453
D03,Soil_D03_2,37.229167,-108.055278,2024-07-17,-108.25,37.25,2024-07-16,20.700000762939453
D04,Soil_D04_1,37.229218,-108.054767,2024-07-17,-108.25,37.25,2024-07-16,20.700000762939453
D04,Soil_D04_2,37.229218,-108.054767,2024-07-17,-108.25,37.25,2024-07-16,20.700000762939453
D05,Soil_D05_1,37.274,-107.872,2024-07-23,-107.75,37.25,2024-07-16,20
D05,Soil_D05_2,37.274,-107.872,2024-07-23,-107.75,37.25,2024-07-16,20
E01,Soil_E01_1,31.6781066,-106.2660366,2023-11-03,-106.25,31.75,2023-11-16,13.199999809265137
E01,Soil_E01_2,31.6781066,-106.2660366,2023-11-03,-106.25,31.75,2023-11-16,13.199999809265137
E02,Soil_E02_1,31.77391,-106.50386,2023-12-07,-106.75,31.75,2023-12-16,9.100000381469727
E02,Soil_E02_2,31.77391,-106.50386,2023-12-07,-106.75,31.75,2023-12-16,9.100000381469727
E03,Soil_E03_1,31.76397,-106.50203,2023-12-21,-106.75,31.75,2023-12-16,9.100000381469727
E03,Soil_E03_2,31.76397,-106.50203,2023-12-21,-106.75,31.75,2023-12-16,9.100000381469727
E04,Soil_E04_1,31.79024,-106.45513,2023-12-21,-106.25,31.75,2023-12-16,9.40000057220459
E04,Soil_E04_2,31.79024,-106.45513,2023-12-21,-106.25,31.75,2023-12-16,9.40000057220459
E05,Soil_E05_1,31.78962,-106.4577,2023-12-21,-106.25,31.75,2023-12-16,9.40000057220459
E05,Soil_E05_2,31.78962,-106.4577,2023-12-21,-106.25,31.75,2023-12-16,9.40000057220459
E06,Soil_E06_1,31.75547,-106.40452,2023-12-22,-106.25,31.75,2023-12-16,9.40000057220459
E06,Soil_E06_2,31.75547,-106.40452,2023-12-22,-106.25,31.75,2023-12-16,9.40000057220459
F01,Soil_F01_1,36.883255,-119.731121,2023-11-07,-119.75,36.75,2023-11-16,13.600000381469727
F01,Soil_F01_2,36.883255,-119.731121,2023-11-07,-119.75,36.75,2023-11-16,13.600000381469727
F02,Soil_F02_1,36.524636,-119.842776,2023-12-10,-119.75,36.75,2023-12-16,10.699999809265137
F02,Soil_F02_2,36.524636,-119.842776,2023-12-10,-119.75,36.75,2023-12-16,10.699999809265137
F03,Soil_F03_1,36.522455,-119.844327,2023-12-10,-119.75,36.75,2023-12-16,10.699999809265137
