lon,lat,oxygen_sq4,salt_sq5,nutrient_avail_sq1,T_CLAY,T_GRAVEL,T_SAND,T_PH_H2O,AWC_CLASS
-77.4133845,37.2348699,2,1,3,23,9,34,4.9,1
-77.416639,37.235278,2,1,3,23,9,34,4.9,1
-76.72894,40.20348,1,1,1,24,9,47,6.4,1
-76.72865,40.19287,1,1,1,24,9,47,6.4,1
-76.74527,40.20507,1,1,1,24,9,47,6.4,1
-76.74357,40.19899,1,1,1,24,9,47,6.4,1
-76.7385,40.20651,1,1,1,24,9,47,6.4,1
-122.3320589,47.6275429,2,1,3,23,8,41,5.2,1
-122.3302119,47.6274891,2,1,3,23,8,41,5.2,1
-122.064,36.95241,1,1,1,23,7,39,6.4,1
-122.06125,36.998778,1,1,1,23,7,39,6.4,1
